2013,page,col_1,col_2,col_3,col_4,col_0,2012,col_5,col_6,Eligible Voters 2014,Registered voters
"6,543 7,992 4,506",54,,,,,,,,,,
Male,54,Female,Total,Male,Female,,,,,,
53 21 8,54,5 5 -,58 26 8,13 12 4,- 3 2,,,,,,
82,54,10,92,29,5,,,,,,
Male,54,Female,Total,Male,Female,,,,,,
7 - - 6,54,- 1 - -,7 1 6,8 - 1 2,- 1 - -,,,,,,
13,54,1,14,11,1,,,,,,
Male,55,Female,Total,Male,Female,,,,,,
- 45 13 58 2 1,55,- 1 - 11 1 -,- 46 13 69 3 1,3 12 3 10 - -,1 2 - - - -,,,,,,
119,55,13,132,28,3,,,,,,
292 10 282 67 13 54,55,,,,,,,,,,
,57,,Female,Totals,Males,,Males,Female,,,
,57,,- 5 1 2 2,- 7 4 7 11,2 - 1 -,Rape (Including attempt) Assault Breakings General stealing All other penal code offences,- 2 3 5 9,1 - 1 - -,3 - 1 1 - 5,,
,57,,10,29,3,Total,19,2,,,
,57,,,,,,,,,"38.482 2,376 45,065","24,949 19,374 28,714"
,57,,,,,,,,,"111,923","73,037"
