col_0,col_1,col_2,col_3,col_4,col_5,page,Registered Businesses,Permits Paid,Penalties Paid(Ksh),Total (Ksh),col_7,Revenue Potential,col_9,col_10,Sub county,2013,Type of Road,2014*,Post Offices and Letter Boxes,Number,2013/2014,Secondary,University/Middle Level Colleges,col_6,Ksh,Banks,Insurances,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEPT,OCT,NOV,County,National
,,Residents,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attractions,Name,2013,2014*,2013,2014*,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Parks Sanctuaries,Ndere Island Impala,"2 ,466 2 20,181","6 2,008 2 25,803","9 4 2 ,148","1 46 1 ,825",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,"2 22,647","2 87,811","2 ,242","1 ,971",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Residents,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attractions,Name,2013,2014*,2013,2014*,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Musuems Other Tourist Attractions,Kisumu Kit Mikayi,"1 51,170 ..","2 19,380 ..",.. ..,.. ..,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"151,170","2 19,380",-,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014*,,2014*,,2014*,29,2013,2013,2013,2013,2014*,2013,2014*,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1 ,213 .. .. 6 56 1 6,631 ..",,"3 ,051,000 .. .. 3 ,575,065 2 ,423,000 ..",,"4 ,475 .. .. .. .. ..",29,".. 2 ,483 .. 2 45 .. ..",".. 2 ,996,800 .. 2 ,739,100 .. ..",".. 8 6,145 .. 4 1,365 .. ..",".. 3 ,082,945 .. 2 ,780,710 .. ..","3 ,055,475 .. .. 3 ,635,604 .. ..",".. 9 ,038,000 .. .. .. ..","4 ,300,100 .. .. .. 1 57,386,000 ..",.. 3 4 .. .. .. ..,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,30,,,,,,,,,"Kisumu West, Muhoroni, Nyakach, Kisumu East Seme,Nyando Seme,Nyando",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,43,,,,,,,,,,114.4 108.5 86.4,,,,,,,,,,,,,,,,,,,,,,,,
,Diesel,Kerosene,Super Petrol,Diesel,,44,,,,,,,,,,Super Petrol,,,,,,,,,,,,,,,,,,,,,,,,
,109.9 113.2 107.73 108.57 101.8 99.9 101.13 105.2 108.4 107.6 105.3 106.5,89.9 87.7 86.9 86.9 86.9 89.6 83.5 84.8 84.2 87.3 84.5 84.8,112.4 113.4 115.4 116.9 116.9 115.4 117.6 118.4 118.4 115.7 116.7 114.8,106.6 107.8 10.7 106.9 106.9 117.9 117.9 106.4 108.4 107.6 105.3 110.7,,44,,,,,,,,,,113.3 115.3 110.1 116.9 116.0 116.4 109.9 118.4 118.4 115.7 110.7 111.7,,,,,,,,,,,,,,,,,,,,,,,,
,106.3,86.4,116.0,101.1,,44,,,,,,,,,,114.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,45,,,,,,,,,,4 83.0 4 34.0 1 04.0,Earth Murram Bitumen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,45,,,,,,,,,,"1 ,021.0",Total,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,45,,,,,,,,,,d Roads /Kenya Rural Roads Autho,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,45,,,,,,,,,,,* Provisional,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,45,,,,,,,,,,,,,Post Offices Letter boxes installed Letter boxes rented Letter boxes vacant,"18 12,935 10,968 1,967",,,,,,,,,,,,,,,,,,,,
,,,,,,45,,,,,,,,,,,,,"Source: Postal Corporation of Kenya, Kakamega Regional Office",,,,,,,,,,,,,,,,,,,,,
,,,,,,59,,,,,,,,,,,,,,,"256,642,406 130,270,168 -",,,,,,,,,,,,,,,,,,,
,,,,,,59,,,,,,,,,,,,,,,"7 6,741,363 7 7,191,889 7 1,345,361 6 3,136,381 7 6,051,617 7 4,904,678 7 8,207,229",,,,,,,,,,,,,,,,,,,
,,,,,,59,,,,,,,,,,,,,,,"5 17,578,518",,,,,,,,,,,,,,,,,,,
,,2014*,,,,59,,,,,,,,,,,,,,,,2013,2013,2014*,,,,,,,,,,,,,,,,
,Female,Male,Female,,Female,59,,,,,Female,,,,,,,,,,,Male,Male,Male,,,,,,,,,,,,,,,,
,1 09 .. .. 8 00 .. .. ..,"9 44 1 ,100 5 47 .. .. .. ..","1 ,162 1 ,113 2 50 .. .. .. ..",,6 7 .. 1 35 2 01 .. .. ..,59,,,,,2 38 .. 1 35 .. .. .. ..,,,,,,,,,,,"1 15 .. .. 1 ,000 .. .. ..",9 1 .. .. 2 96 .. .. ..,3 40 .. 2 35 .. .. .. ..,,,,,,,,,,,,,,,,
,Recurrent,,Development,,,60,,,,,,,,,,,,,,,,,,,Ministry/Office/Entity,,,,,,,,,,,,,,,
,Approved Estimate,Expenditure,Approved Estimate,Expenditure,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"375,568,636.00 833,681,902.00 1,981,199,629.00 64,705,426.00 109,209,830.00 40,736,210.00 28,592,509.00 283,221,672.00 149,006,229.00 86,832,901.00 24,208,173.00 757,577,345.00 371,339,299.00","299,433,194.90 542,540,401.85 598,506,661.25 41,735,180.30 73,012,859.60 24,326,232.55 8,049,981.30 124,224,646.10 118,137,561.00 45,438,864.30 23,719,272.10 7,164,457.40 337,315,791.20","100,000,000.00 1,267,867,872.00 145,900,000.00 67,160,000.00 670,095,440.00 12,000,000.00 100,846,520.00 25,000,000.00 266,297,640.00 111,800,000.00 44,400,000.00 0 0",,,60,,,,,,,,,,,,,,,,,,,"DEPARTMENT OF GOVERNANCE AND ADMINSTRATION DEPARTMENT OF FINANCE AND PLANNING DEPARTMENT OF HEALTH DEPARTMENT OF TOURISM, TRADE AND HERITAGE DEPARTMENT OF TRANSPORT AND INFRASTRUCTURE DEPARTMENT OF INDUSTRIALIZATION AND ENTERPRISE DEVELOPMENT DEPARTMENT OF LANDS, HOUSING AND PHYSICAL PLANNING DEPARTMENT OF AGRICULTURE, LIVESTOCK AND FISHERIES DEPARTMENT OF EDUCATION, GENDER, CULTURE AND SPORTS DEPARTMENT OF WATER, ENVIRONMENT AND NATURAL RESOURCES ENERGY AND MINING CITY OF KISUMU COUNTY ASSEMBLY",,,,,,,,,,,,,,,
,"4,734,540,462.00","1,906,289,312.65","2,811,367,472.00","2,516,654,316.60",,60,,,,,,,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
,,,,,,60,,,,,,,,,,,,,,,,,,,Source: The National Treasury,,,,,,,,,,,,,,,
,,,,,,61,,,,,,,,,,,,,,,,,,,,20 .. .. .. 1 ..,18 .. .. .. .. ..,,,,,,,,,,,,,
,,,,,,61,,,,,,,,,,,,,,,,,,,,21,18,,,,,,,,,,,,,
,,,,,,62,,,,,,,,,,,,,,,,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,,
,,,,,,62,,,,,,,,,,,,,,,,,,,,,,39 75 41 69 27 47 57,39 77 41 71 27 55 60,38 74 45 75 27 51 60,36 81 41 67 26 49 33,39 80 42 78 25 61 55,41 80 44 78 29 63 58,40 74 42 66 48 60 35,33 69 34 63 22 53 27,30 67 31 64 24 59 36,31 67 31 67 24 57 30,31 68 33 68 24 56 37,,
