county_code,county_name,slug,availability_status,latest_year,population,population_growth_pct,gdp_contribution_pct,health_score,education_rating,employment_rate,unemployment_rate,development_score,development_tier,source,source_file
001,Mombasa,mombasa,DATA_UNAVAILABLE,2025,800850,1.38,4.88,55.1,2.9,83.1,16.9,46.11,4,deterministic_baseline,
002,Kwale,kwale,DATA_UNAVAILABLE,2025,463000,1.56,2.74,54.8,2.7,81.7,18.3,36.0,5,deterministic_baseline,
003,Kilifi,kilifi,DATA_UNAVAILABLE,2025,504500,1.74,2.91,57.2,2.9,81.1,18.9,38.57,5,deterministic_baseline,
004,Tana River,tana_river,DATA_UNAVAILABLE,2025,546000,1.92,3.08,59.6,3.1,80.5,19.5,41.13,4,deterministic_baseline,
005,Lamu,lamu,DATA_UNAVAILABLE,2025,587500,2.1,3.25,62.0,3.3,84.9,15.1,47.69,4,deterministic_baseline,
006,Taita-Taveta,taita_taveta,DATA_UNAVAILABLE,2025,629000,2.28,3.42,64.4,3.6,84.6,15.4,51.29,3,deterministic_baseline,
007,Garissa,garissa,DOWNLOADED,2024,670500,2.46,3.59,66.8,3.8,84.0,16.0,53.85,3,deterministic_baseline,D:\personal projects\Project data\Garissa\2024-Statistical-Abstract-Garissa-County.pdf
008,Wajir,wajir,DATA_UNAVAILABLE,2025,712000,2.64,3.76,69.2,4.0,83.4,16.6,56.42,2,deterministic_baseline,
009,Mandera,mandera,DATA_UNAVAILABLE,2025,753500,1.2,3.93,71.6,4.2,82.8,17.2,58.98,2,deterministic_baseline,
010,Marsabit,marsabit,DATA_UNAVAILABLE,2025,795000,1.38,4.1,74.0,4.4,87.2,12.8,65.54,1,deterministic_baseline,
011,Isiolo,isiolo,DATA_UNAVAILABLE,2025,836500,1.56,4.27,76.4,2.3,81.8,18.2,45.86,4,deterministic_baseline,
012,Meru,meru,DATA_UNAVAILABLE,2025,878000,1.74,4.44,78.8,2.5,81.2,18.8,48.42,3,deterministic_baseline,
013,Tharaka-Nithi,tharaka_nithi,DATA_UNAVAILABLE,2025,919500,1.92,4.61,81.2,2.7,80.7,19.3,51.07,3,deterministic_baseline,
014,Embu,embu,DATA_UNAVAILABLE,2025,961000,2.1,4.78,83.6,2.9,80.1,19.9,53.63,3,deterministic_baseline,
015,Kitui,kitui,DATA_UNAVAILABLE,2025,1002500,2.28,4.95,86.0,3.1,84.5,15.5,60.19,2,deterministic_baseline,
016,Machakos,machakos,DATA_UNAVAILABLE,2025,1044000,2.46,5.12,88.4,3.3,83.9,16.1,62.75,2,deterministic_baseline,
017,Makueni,makueni,DOWNLOADED,2025,1085500,2.64,5.29,50.0,3.6,83.6,16.4,51.67,3,deterministic_baseline,D:\personal projects\Project data\Makueni\2025-Statistical-Abstract-Makueni-County.pdf
018,Nyandarua,nyandarua,DOWNLOADED,2022,1127000,1.2,5.46,52.4,3.8,83.0,17.0,54.23,3,deterministic_baseline,D:\personal projects\Project data\Nyandarua\2022-County-Statistical-Abstracts-Nyandarua.pdf
019,Nyeri,nyeri,DATA_UNAVAILABLE,2025,1168500,1.38,5.63,54.8,4.0,82.4,17.6,56.79,2,deterministic_baseline,
020,Kirinyaga,kirinyaga,DOWNLOADED,2015,1210000,1.56,5.8,57.2,4.2,86.8,13.2,63.35,2,deterministic_baseline,D:\personal projects\Project data\Kirinyaga\2015-County-Statistical-Abstracts-Kirinyaga.pdf
021,Murang'a,murang_a,DATA_UNAVAILABLE,2025,1251500,1.74,5.97,59.6,4.4,86.2,13.8,65.91,1,deterministic_baseline,
022,Kiambu,kiambu,DATA_UNAVAILABLE,2025,2456700,1.92,11.67,64.7,2.7,81.7,18.3,69.93,1,deterministic_baseline,
