"Map 2: Location of Makueni County in Kenya CCoouunnttyy SSttaattiissttiiccaall AAbbssttrraacctt,, 22002109 xxxxii",col_1,page,Total Cancer Cases,93,139,170,205,252,Type of Crop,2015,2016,2017,2018,2019*,col_0,Practising Agricultural Personel,Sub County,Land Use,Commodity,Input,KSh per 50 Kg bag,col_2,col_3,col_4,col_5,Class of Input,Type of Input,Unit,Type,Quantity,9102,hsK( eulaV )000‘,"000,016,284",Year,Sub-County,Category,2019,National Parks,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sept,Oct,Nov,Dec,Total,Road Class,Surface Type,Mbooni,Kilome,Kaiti,Makueni,Kibwezi West,Kibwezi East,Hotels,Resorts,detcelloC sDI RPN,*9102,"141,2 618,9 390,3 786,2 872,01 313,4 062,4 205,5 073,3","064,54",Type of Institution,*0202/9102,latoT elameF elaM,Funds,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020*,tnempoleveD,-idnepxE erut,"57.246,2",col_6,col_8,2015/16,2016/17,2017/18,2018/19,2019/20*,Economic Activities,2013,2014
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,40,Deaths,43,58,67,79,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45,,,,,,,,437 102 159 621 112 51 625 965 405 521 195 321 19 187 159 305 30 234,449 113 179 634 109 48 620 976 423 505 197 323 18 195 160 312 34 243,510 118 187 643 112 51 648 968 421 543 213 325 23 190 163 325 33 235,580 121 200 645 123 50 645 995 432 532 218 345 22 185 165 318 33 245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45,,,,,,,,- 18 6,- 18 6,1 17 6,1 16 6,,,"Vets Agricultural Extension Officer Others(e.g., Paravets)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45,,,,,,,,- 12 3,- 12 3,1 10 2,1 9 2,,,"Vets Agricultural Extension Officer Others(e.g., Paravets)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45,,,,,,,,1 12 2,1 11 2,1 14 2,1 12 2,,,"Vets Agricultural Extension Officer Others(e.g., Paravets)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45,,,,,,,,1 15 4,1 14 4,1 15 4,1 15 4,,,"Vets Agricultural Extension Officer Others(e.g., Paravets)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45,,,,,,,,- 15 5,- 15 5,1 12 5,1 11 5,,,"Vets Agricultural Extension Officer Others(e.g., Paravets)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45,,,,,,,,1 12 3,1 11 3,1 8 3,1 7 3,,,"Vets Agricultural Extension Officer Others(e.g., Paravets)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45,,,,,,,,4,4,4,4,,,Vets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
