Sub county,page,2013,col_1,col_2,col_3,col_4,Banks,SACCOs,Insurances,Micro Finance,Number,Post Offices and Letter Boxes,2014*,KSh,col_0
"- - - - Hulugho, Ijara Fafi,Garissa,Lagdera,Balambala and Daadab",24,,,,,,,,,,,,,,
,30,With Electricity,,,,,,,,,,,,,
,30,"1 1,000 6 20 1 1",,,,,,,,,,,,,
,30,Super Petrol,Diesel,Kerosene,Super Petrol,Diesel,,,,,,,,,
,30,107.82 107.82 107.82 109.00 110.60 111.60 112.40 113.70 113.70 114.60 114.60 115.00,113.44 113.44 113.44 115.00 113.00 113.00 111.50 111.50 112.50 113.00 113.00 110.60,50.35 50.35 50.35 52.00 50.00 50.00 50.00 50.00 52.50 52.50 52.50 52.50,115.00 115.00 115.00 115.00 110.00 110.00 110.00 110.00 110.00 109.60 108.50 107.00,109.00 109.00 109.00 109.00 98.60 98.60 98.60 98.60 97.70 89.70 89.70 89.70,,,,,,,,,
,30,111.56,112.79,51.09,111.26,99.77,,,,,,,,,
,31,,,,,,8 2 1 1,19 2 - -,6 - - -,1 - - -,,,,,
,32,,2014*,,,,,,,,Telephone Connections,,,,
,32,,50 15 20 50,,,,,,,,Households with Fixed/Wireless Telephone connections Establishments with Fixed/Wireless Telephone connections National Government Offices with Fixed/Wireless Telephone Connections County Government Offices with Fixed/Wireless Telephone Connections,,,,
,32,,,,,,,,,,"Source: Telkom Kenya, Garissa County * Provisional",,,,
,32,,,,,,,,,,,Post Offices Letter boxes installed Letter boxes rented Letter boxes vacant,"6 2,600 2,496 104",,
,32,,,,,,,,,,,"Source: Postal Corporation of Kenya, Garissa County * Provisional",,,
,46,,2013/14,2014/15*,,,,,,,,,,Funds,
,46,,"4 ,221,433,714.0 1 08,000,000.0 2 34,227,575.0","4 ,914,082,809.0 1 ,817,006,387.9 5 00,000,000.0",,,,,,,,,,Allocated Funds Balance Carried Forward Local Sources Revenue,
,46,,"4 ,563,661,289.0","7 ,231,089,196.9",,,,,,,,,,Total,
,46,,y Government of Garissa,,,,,,,,,,,,
,46,,,,,,,,,,,,,* Provisional,
,46,,,2014/15*,,,,,,,,,,2013/14,Expenditures/Revenues
,46,,,"7,500,954,618.0 607,362,418.0",,,,,,,,,,"4,563,661,288.0 253,227,575.0",Expenditures Revenues
,46,,,,,,,,,,,,,Garissa,
,46,,,,,,,,,,,,,,* Provisional
,46,"65,632,079.0 73,852,369.0 77,164,284.0 85,601,198.0 75,290,099.0 75,022,454.0",,,,,,,,,,,,,
,46,"452,562,483.0",,,,,,,,,,,,,
,47,,Recurrent,,Development,,,,,,,,,Ministry/Office/Entity,
,47,,Approved Estimate,Expenditure,Approved Estimate,Expenditure,,,,,,,,,
,47,,"7 2,626,136.00 1 1,208,758.00 5 3,748,998.00 1 10,885,688.00 8 1,403,889.00 9 18,187,670.00 2 00,886,405.00 2 93,576,072.00 1 ,436,005,965.00 2 9,842,000.00 1 92,423,810.00 5 5,614,492.00 3 63,000,000.00","5 8,250,178.50 1 1,349,247.10 6 8,113,475.95 8 2,347,647.00 4 6,258,667.00 9 02,309,126.10 1 80,977,370.95 2 80,180,155.70 1 ,242,254,312.60 1 2,381,917.00 1 85,365,950.90 9 9,280,937.65 3 35,545,201.40","1 31,627,865.00 1 9,408,266.00 3 22,503,003.00 9 92,591,734.00 3 6,000,000.00 5 29,362,103.00 9 9,233,533.00 2 23,411,229.00 6 14,549,908.00 6 2,000,000.00 7 69,000,000.00 4 8,100,000.00 ..","6 5,735,372.80 1 97,408,265.40 2 92,206,194.30 9 42,695,163.20 3 2,937,402.50 3 91,644,918.15 4 6,406,981.75 2 18,411,228.30 3 75,492,703.20 2 3,214,418.60 6 55,235,080.95 2 8,720,519.00 ..",,,,,,,,"Agriculture, Livestock and Fisheries and Irrigation Land, Housing, and Public Works Energy, Environment and Natural Resources Transport and Infrastructure Trade & Cooperative Development Health Education, Youth, Sport & Polytechnic County Affairs Finance & Economic Planning Culture, Social Gender & Children Water & Sanitation Livestock & Veterinary County Assembly",
,47,,"3 ,819,409,883.00","3 ,504,614,187.85","3 ,847,787,641.00","3 ,270,108,248.15",,,,,,,,Total,
,47,,,,,,,,,,,,,Source: National Treasury,
,48,40 75 40 30 40 60 60 60,,,,,,,,,,,,,
