col_0,Total,Sex,col_3,col_4,Households,col_6,Land Area,Density,page
,,Male,Female,Total,Conventional,Group Quarters,Sq. Km,Persons per Sq. Km,23
,"11,015","5,185","5,830","2,421","2,390",31,30.4,363,23
Kothidha,,,,,,,,,23
N d Whiewsta K Saunby-aCdoaunty,"2187,,193368","1033,,780268","1144,,412120","481,,076029","471,,975060",1069,7 1139..54,340069,23
,"29,414","13,830","15,581","6,355","6,350",5,101.5,290,23
Kobodo,"8,871","4,151","4,720","1,921","1,921",-,33.2,267,23
Kajwang,,,,,,,,,23
Northeast Kanyamwa,"55,,527076","22,,644400","22,,973673","11,,115558","11,,115558",--,1168..15,324862,23
South Kanyamua,,,,,,,,,23
South East Kanyamwa,"53,,887873","21,,788127","32,,009656","1,288347","1,288342",5-,2121..60,236501,23
North Kanyamwa,"37,338","17,646","19,692","7,929","7,857",72,143.9,259,23
Kobama,"5,335","2,460","2,875","1,283","1,211",72,14.3,372,23
Central Kwabwai,,,,,,,,,23
East Kwabwai,"68,,129835","23,,994332","34,,235503","11,,269900","11,,269900",--,2362..99,223502,23
North Kwabwai,,,,,,,,,23
Rachar,"63,,650247","31,,161765","31,,488582","1,460736","1,460736",--,2137..70,227088,23
Southwest Kwabwai,,,,,,,,,23
West Kwabwai,"457,,531934","213,,654220","233,,887714","91,,959817","91,,958817",10 -,1 2269..90,325595,23
Riana,,,,,,,,,23
Central Kabuoch,"159,,433492","74,,337418","84,,096984","32,,403449","32,,403449",--,3294..74,338893,23
East Kabuoch,"6,697","3,212","3,485","1,472","1,462",10,18.5,362,23
North Kabuoch,"7,843","3,751","4,092","1,663","1,663",-,21.6,364,23
West Kabuoch,,,,,,,,,23
,,Male,Female,Total,Conventional,Group Quarters,Sq. Km,Persons per Sq. Km,24
Ndhiwa,"42,140","20,078","22,061","9,565","9,547",18,147.0,287,24
,,,,,,,,,24
Central Kanyamwa,"135,,042555","62,,168284","62,,883361","21,,813595","21,,813496",9-,4274..75,227233,24
East Kanyamwa,,,,,,,,,24
Lower Kayambo,"161,,939814","35,,343368","35,,695456","12,,586609","12,,586609",--,3148..02,260264,24
Upper Kayambo,,,,,,,,,24
West Kanyamwa,"305,,220825","142,,640972","152,,579943","61,,813422","61,,813313",19,9232..66,322333,24
Nyarongi,,,,,,,,,24
Central Kanyadoto,"46,,042974","13,,807465","23,,145418","1,837794","1,837794",--,1146..04,238987,24
North Kanyikela,"6,544","3,389","3,155","1,791","1,791",-,18.3,357,24
South Kanyikela,"13,137","6,297","6,840","2,788","2,787",1,44.9,293,24
West Kanyadoto,"33,529","15,903","17,623","7,390","7,390",-,100.7,333,24
Pala,"7,471","3,539","3,932","1,636","1,636",-,17.9,418,24
Kamenya,,,,,,,,,24
Kobita,"1100,,407155","44,,983440","55,,514703","22,,321412","22,,321412",--,3316..87,322793,24
Koguta,,,,,,,,,24
R a c h u Soonuytoh NKaobrutho c h Sub-County,"5,568 178,686","2,590 85,409","2,978 93,273","1,201 41,809","1,201 41,661",- 148,14.3 435.4,390 410,24
,"67,349","32,118","35,230","16,309","16,161",148,162.0,416,24
East Karachuonyo,"6,912","3,294","3,618","1,617","1,617",-,18.3,379,24
Central Karachuonyo,,,,,,,,,24
