Constituency/Ward,2013,2017,2022,page,Homa Bay Arujo,11,12,Offence,col_2,col_3,col_4,col_5,col_6,2023,col_8,col_9,col_10,col_11,col_12,Probation,col_7,col_13,col_14,col_15,Community Service,Aftercare,Number,col_1,col_0,col_16,col_17,col_18,Type of Offence,Theft by servant,0,2021
Homa Bay Town,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,254,Homa Bay West Ndhiwa,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Persons Without Disability,267,,,,,,,Persons With Disability,,,Persons Without Disability,,,Persons With Disability,,,,,,,,,,,,,,,,,,,
,,,Male,267,,,,,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,,,,,,,,,,,,,,,,,
,,,,267,,,,Order and Admin-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,273,267,,,,istration of lawful authority,..,273,..,..,..,165,,165,2,..,2,,,,,,,,,,,,,,,,,
,,,,267,,,,Against Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,65,267,,,,Related to property,..,65,..,..,..,46,,46,,..,,,,,,,,,,,,,,,,,,
,,,,267,,,,Attempts and conspiracies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,267,,,,Employment Act,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,267,,,,Liqour Act,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,35,267,,,,Drugs related,..,35,..,..,..,24,,24,,..,,,,,,,,,,,,,,,,,,
,,,,267,,,,Various cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,267,,,,Registration of persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,267,,,,,,,2020,,,,,,2022,,,2019,2021,2023,,,,,,,,,,,,,,
,,,,267,,,,,Female,Total,Male,Female,Total,,Female,Total,Male,Female,Total,Male,Male,Male,Female,Total,,,,,,,,,,,,
,,,,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,267,,,,Murder (including attempt),0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,,267,,,,Manslaughter,0,1,0,2,2,,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
,,,,267,,,,Rape (including attempt),0,1,0,0,0,,0,0,0,0,0,1,0,1,0,1,,,,,,,,,,,,
,,,,268,,,,,,,2020,,,,,,2022,,,2019,2021,2023,,,,,,,,,,,,,,
,,,,268,,,,,Female,Total,Male,Female,Total,,Female,Total,Male,Female,Total,Male,Male,Male,Female,Total,,,,,,,,,,,,
,,,,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,268,,,,Other offences against persons,5,16,11,2,13,,0,25,4,0,4,11,25,3,0,3,,,,,,,,,,,,
,,,,268,,,,Robbery and Allied offences,0,2,0,0,0,,0,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,
,,,,268,,,,Breakings,1,2,1,0,1,,0,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,
,,,,268,,,,Theft of Stock,0,1,1,0,1,,0,0,2,0,2,1,0,2,0,2,,,,,,,,,,,,
,,,,268,,,,General stealing,1,12,2,0,2,,0,15,13,0,13,11,15,14,0,14,,,,,,,,,,,,
,,,,268,,,,1 Dangerous drugs,10,24,3,6,9,,8,21,9,4,13,14,13,2,5,7,,,,,,,,,,,,
,,,,268,,,,Handling stolen property,0,1,0,0,0,,0,1,1,0,1,1,1,4,1,5,,,,,,,,,,,,
,,,,268,,,,Other offences against property,1,2,3,0,3,,0,4,9,0,9,1,4,3,0,3,,,,,,,,,,,,
,,,,268,,,,All other penal code offences,5,11,5,1,6,,3,9,3,0,3,6,6,5,1,6,,,,,,,,,,,,
,,,,268,,,,Sub-Total,25,91,30,11,41,,17,93,49,6,55,66,76,47,11,58,,,,,,,,,,,,
,,,,268,,,,GSoruarncde: TDoetpaalr (tMmeanlet +ofF Permobaaleti)on and Aftercar e Departm9e1nt 41 93 55 58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,268,,,,,,,2020,,,,,,2022,,,,2021,2023,,,2019,,,,,,,,,,,
,,,,268,,,,,Female,Total,Male,Female,Total,,Female,Total,Male,Female,Total,,Male,Male,Female,Total,Male,,,,,,,,,,,
,,,,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,268,,,,Murder (including attempt),0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,
,,,,268,,,,Manslaughter,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,
,,,,268,,,,Rape (including attempt),0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,
,,,,268,,,,Assault,0,1,0,0,0,,1,1,0,1,1,,0,0,0,0,1,,,,,,,,,,,
,,,,268,,,,Other offences against persons,8,49,20,1,21,,0,26,3,3,6,,26,0,0,0,41,,,,,,,,,,,
,,,,268,,,,Robbery and Allied offences,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,
,,,,268,,,,Breakings,0,0,1,0,1,,0,0,1,0,1,,0,0,0,0,0,,,,,,,,,,,
,,,,268,,,,Theft of Stock,0,0,0,0,0,,0,0,0,1,1,,0,0,0,0,0,,,,,,,,,,,
,,,,269,,,,,,,2020,,,,,,2022,,,,2021,2023,,,2019,,,,,,,,,,,
,,,,269,,,,,Female,Total,Male,Female,Total,,Female,Total,Male,Female,Total,,Male,Male,Female,Total,Male,,,,,,,,,,,
,,,,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,269,,,,1 Dangerous drugs,8,11,2,1,3,,7,17,6,3,9,,10,2,1,3,3,,,,,,,,,,,
,,,,269,,,,Handling stolen property,0,0,0,0,0,,0,1,0,0,0,,1,0,0,0,0,,,,,,,,,,,
,,,,269,,,,Other offences against property,,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,
,,,,269,,,,All other penal code offences,1,4,0,0,0,,63,214,0,0,0,,151,1,0,1,3,,,,,,,,,,,
,,,,269,,,,Sub-Total,17,67,23,2,25,,71,259,16,8,24,,188,5,1,6,50,,,,,,,,,,,
,,,,269,,,,Source: Department of Probation and Aftercare Department Grand Total (Male+Female) 67 25,,,,,,,259,,,24,,,,6,,,,,,,,,,,,,,
,,,,269,,,,,,,2020,,,,,,2022,,,,2021,2023,,,,2019,,,,,,,,,,
,,,,269,,,,,Female,Total,Male,Female,Total,,Female,Total,Male,Female,Total,,Male,Male,Female,Total,,Male,,,,,,,,,,
,,,,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,269,,,,Murder (including attempt),0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,,,
,,,,269,,,,Manslaughter,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,,,
,,,,269,,,,Rape (including attempt),0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,,,
,,,,269,,,,Assault,0,0,0,0,0,,0,0,0,0,0,,0,0,1,1,,0,,,,,,,,,,
,,,,269,,,,Other offences against persons,0,1,1,0,1,,0,2,0,0,0,,2,0,0,0,,1,,,,,,,,,,
,,,,269,,,,Robbery and Allied offences,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,,,
