Units,page,Male,Female,Total,HHs,Av. HH Size,Area (Sq.Km),2013,col_1,col_2,col_3,col_4,Number,Quantity (Kg),Quantity ( litres)
metres a.s.l metres a.s.l degrees N/S degrees E/W,20,,,,,,,,,,,,,,
,23,"5,482,381 7,607,113 10,628,368 14,205,589 19,192,458","5,460,324 7,719,948 10,815,268 14,481,018 19,417,639","10,942,705 15,327,061 21,443,636 28,686,607 38,610,097","1,938,186 2,956,369 4,352,751 6,371,370 8,767,954",5.6 5.2 4.9 4.5 4.4,"581,313 581,313 581,313 581,313 581,313",,,,,,,,
,23,,,,,,,Male,Female,Total,Male,Female,,,
,23,,,,,,,"24,236 20,588 18,415 15,904 11,596 8,204 6,495 5,444 3,868 3,139 2,504 1,715 1,702 1,201 977 611 758","24,535 20,057 16,783 13,751 11,545 9,731 7,524 5,983 4,385 3,099 2,790 1,823 1,914 1,167 1,037 616 900","48,771 40,645 35,198 29,655 23,141 17,935 14,019 11,427 8,253 6,238 5,294 3,538 3,616 2,368 2,014 1,227 1,658","25,024 21,066 18,891 16,406 12,154 8,624 6,807 5,699 4,103 3,300 2,635 1,796 1,786 1,251 1,012 625 739","25,379 20,596 17,293 14,169 11,863 10,152 8,040 6,319 4,632 3,258 2,952 1,916 1,997 1,214 1,075 635 876",,,
,23,,,,,,,"127,357","127,640","254,997","131,918","132,366",,,
,24,,,,,,,Males,Females,Total,Males,Females,,,
,24,,,,,,,"4,983 9,221 14,673 31,079 13,070 17,714 32,413 73,025 54,332 54,650 60,571 3,547","5,053 9,294 14,769 29,539 11,012 17,003 34,258 69,668 57,972 56,018 62,545 3,720","1 0,036 1 8,515 2 9,441 6 0,621 2 4,081 3 4,716 6 6,670 142,694 112,303 110,668 123,116 7,267","5,145 9,521 15,107 31,840 13,464 18,465 33,896 75,076 56,842 57,093 63,310 3,627","5 ,227 9 ,614 15,243 30,383 11,347 17,487 35,679 71,813 60,553 58,433 65,298 3 ,800",,,
,24,,,,,,,Male,Female,Total,Male,Female,,,
,24,,,,,,,"1,011 162",804 111,"1,815 273","1,868 250","1,945 183",,,
,24,,,,,,,Expected,Registered,Coverage,Expected,Registered,,,
,24,,,,,,,"12,666 2,288","1,815 2 73",14.3 11.9,"1 3,205 2 ,500","3 ,813 4 33",,,
,24,,,,,,,Health Facility,H o (m%)e (%),No.,Health Facility,H o (m%e) (%),,,
,24,,,,,,,70.4 24.5,29.6 75.5,"1,815 273",50.2 43.4,49.8 56.6,,,
,29,,,,,,,,,,,,"3,685 34,607 48,627 321","552,750 519,105 729,405 57,780",
,29,,,,,,,,,,,,"87,240","1,859,040",
,29,,,,,,,,2014*,2013,,,,,2013
,29,,,,,,,,"3,300,434 1,163,200 192,780","91,092,000 34,030,800 5,151,600",,,,,"3,036,400 1,134,360 171,720"
,29,,,,,,,"5,201 32,115 29,203 472",,,,,,,
