Unit,2013,page,Geo-zone,Area Cropped (Hectares),col_1,Production (Tonnes),col_3,col_2,col_4,col_5,col_6
No. KSh KSh,"1,382 8,081,500 0",26,,,,,,,,,
KSh,"8,081,500",26,,,,,,,,,
KSh %,"8,081,500 100",26,,,,,,,,,
,"31 0 0 19 1 13 8 .. .. 1,559",26,,,,,,,,,
,,27,"Poro,Pura Loosuk,Longewan,Logorate Baawa,A/Rongai A/Nanyukie,Kirimon Ngilai,S/Horr,Wamba,Baragoi",,,,,,,,
,,28,,2013,2014*,2013,2014*,,,,
,,28,,"1,102 305 20 1 1 1,200","2,115 414 15 1 0 1,200","2,281 82 0 0 1 2,700",,,,,
,0.80 1.00 4.10 120.00 4.00 0.50 18.00 5.00 2.00 0.50 0.50 0.00 0.25,28,,,,,,,,,
,40 36 40 40,28,,,,,,,,,
,Number,30,,,Number Active,,Membership,Turn over (KSh),Number,Number Active,Turn over (KSh)
,3 2 1 2 25 4 3,30,,,0 1 0 1 7 2 0,,"201 461 50 206 2,931 216 270","0 600,000 0 3,540,000 42,078,445 420,000 0",3 2 1 2 23 4 3,0 1 0 1 7 2 0,"0 800,000 0 3,800,000 44,082,000 650,000 0"
,40,30,,,11,,"4,335","46,638,445",38,11,"49,332,000"
