LAND,2014*,page,Month,2013,col_2,col_3,col_5,col_6,Attractions,Name of Site,Residents,Non-Residents,col_0,col_1,Category,Crop,Area Cropped (Hectares),Production (Tonnes),col_4,Value (KSh million),Input/Fertilizer,Hectares,KSh/Kg
Land Mass,"2,495.60",24,,,,,,,,,,,,,,,,,,,,,
NATIONAL PARKS Mount Elgon Saiwa,169.16 2.9,24,,,,,,,,,,,,,,,,,,,,,
,Mt. Elgon,24,,Mt. Elgon,Saiwa,Kitale Museum,Saiwa,Kitale Museum,,,,,,,,,,,,,,,
,426 502 726 404 158 203 870 654 626 935 618 875,24,January February March April May June July August September October November December,390 302 383 148 175 172 564 475 297 936 603 926,"2,300 356 437 4,188 47 87 .. .. .. .. .. ..","1,709 1,805 1,657 1,535 2,859 4,952 5,846 3,014 4,328 8,017 14,037 4,471","122 71 214 567 5 2 24 1,341 17 .. .. ..","1,991 2,274 3,309 3,130 3,221 5,066 9,411 3,757 50 14,035 14,037 4,471",,,,,,,,,,,,,,,
,"2,638",24,,"5,382","7,415","54,330","3,361","64,752",,,,,,,,,,,,,,,
,,24,"Source: National Museums of Kenya and KWS, Trans Nzoia County *Provisional",,,,,,,,,,,,,,,,,,,,
,,24,,,,2014*,2014*,,,,2013,2013,,,,,,,,,,,
,,24,,,,"6 ,997 ..",.. ..,,National Parks,"Mt, Elgon Saiwa Swamp","5 ,371 ..",.. ..,,,,,,,,,,,
,,24,,,,"5 8,304 ..",2 58 ..,,Musuems Other Tourist Attractions,Kitale Museums Natural Conservancy,"4 5,996 ..",2 72 ..,,,,,,,,,,,
,,24,,,,,,,"Source: Ministry of Tourism, Trans Nzoia County *Provisional",,,,,,,,,,,,,,
,,25,,,2013,2014*,,,,,,,Category,Units,,,,,,,,,
,,25,,,"1 6,494 3 4,403,700 4 27,620","1 8,580 5 1,917,700 5 61,445",,,,,,,Number of Registered Businesses Permits Paid Penalities Paid,Number KSh. KSh.,,,,,,,,,
,,25,,,"3 4,831,320","5 2,479,145",,,,,,,Total Paid,,,,,,,,,,
,,25,,,"6 8,000,000 51.2","7 4,000,000 70.9",,,,,,,Revenue Potential Percentage of Compliance(%),"KSh, Percentage",,,,,,,,,
,,25,,,,,,,,,,,"Source: Department of Trade, County Government of Transnzoia *Provisional",,,,,,,,,,
,47 10330 11 1360 20 30 342 1090 5397,25,,.. 9111 8 1223 14 27 322 950 6956,,,,,,,,,,,Trading Centers Trading Centers Licensed Businesses Licenced Retail Traders (excl. Supermarkets) Supermarkets (Incl. branches) Licenced Wholesale Traders Licenced Hawkers Registered Hotels Petrol Stations Licensed Liquor Outlets Informal Enterprises Other Licenced Businesses,,,,,,,,
,,25,,,,,,,,,,,,,"Source: Department of Trade,County Government of Trans Nzoia *Provisional",,,,,,,,
,,28,,,2014*,,,2014*,,,,,,,,,2013,2013,2014*,2013,,,
,,28,,,"105,950.0 42,040.0 194.0 3,195.0 3 0 23 0 0 . 0 16.0 126.0 1,590.0 240.0 317.0 26.0 880.0 385.0 26.0 20.0 5.4 40.0 7.5 15.0 6.0 4.8 12.8 15.5 3.5 2.0 47.0",,,"13,000.0 10,100.0 13.4 122.6 4 5 0 . 5 1 7 . 6 12 2.7 12.0 254.4 102.4 160.0 6.4 178.5 98.5 7.1 17.2 1.6 64.0 2.8 2.4 0.7 0.4 0.9 0.8 0.9 1.0 1.5",,,,,,,,Commercial Maize Beans Sorghum Wheat Finger millet Soya beans Sweet Potatoes Irish Potatoes Bananas Totatoes Carrots Kales Cabbages Spinnach Bulb Onions Spring Onions Snow peas Garden peas French beans Chillies Capscum Black night shade Spider plant Arrow roots Brinjals Cow pea,"105,305.0 39,535.0 188.0 1,580.0 5 5 5 . 0 12.0 119.0 1,510.0 239.5 320.0 21.0 850.0 370.0 18.0 18.0 6.7 40.0 5.0 7.0 5.0 7.0 43.0 28.0 3.5 4.0 46.0","426,485.3 20,642.5 274.5 3,676.5 3 5413.00 150.0 1,190.0 15,100.0 5,269.0 6,400.0 168.0 12,750.0 7,400.0 144.0 360.0 46.9 160.0 30.0 28.0 10.0 7.0 86.0 84.0 87.5 32.0 69.0","477,000.0 21,756.6 302.0 4,147.0 4 5 03.359 200.0 1,260.0 15,900.0 5,280.0 6,340.0 208.0 13,200.0 7,700.0 208.0 400.0 37.8 160.0 45.0 60.0 12.0 4.8 25.6 46.5 87.5 16.0 86.3","10,900.0 917.4 12.2 106.5 .7 1 5 . 0 2.3 11.7 241.6 102.2 161.5 5.2 172.4 94.7 4.9 15.5 2.0 64.0 1.9 1.1 0.6 0.6 3.0 1.4 0.9 2.0 1.2",,,
,,28,,,,,,,,,,,,,,"Source: Department of Agriculture, County Government of Trans Nzoia *Provisional",,,,,,,
,"3,300 2,400 3,500 3,200 2,500 2,800 2,300 2,300 2,250 2,450 2,450",28,,"3,100 2,300 3,500 3,150 .. .. .. .. .. .. 2,600",,,,,,,,,,,,,,,,,Di-Ammonium Phosphate(DAP) Calcium Ammonium Nitrate NPK 25 5 5 NPK 26107 NPK 23:23:00 NPK 17:17:17 SSP(kelphos) SA Mavuno(top dressing) Mavuno(planting) UREA,,
,,28,,,,,,,,,,,,,,,,,,,"Source: Department of Agriculture, County Government of Trans Nzoia *Provisional",,
,,29,,,Quantity,Cost (KSh),,,,,,,Input,Unit,,,,,,,,,
,,29,,,"50 500 1,000 10 500 500 50 50 25 50 50","750 800 2,000 450 950 500 150 125 100 60 100",,,,,,,Tomato Seed(Onyx) Tomato Seed(Mfalme) Tomato Seed(Anna F1) Cabbage gloria Red Creole Kales Carrots Spinach Butternut Coppenhagen Collards(simlaw),gm gm gm gm gm gm gm gm gm gm gm,,,,,,,,,
,,29,,,,,,,,,,,"Source: Department of Agriculture, County Government of Trans Nzoia *Provisional",,,,,,,,,,
,,29,,,2014*,,,,,,,,,2013,,,,,,,,Type of Crop,
,,29,,,240 24 100 130 6 26 15 6 1010,,,,,,,,,260 25 140 120 8 21 7 6 1100,,,,,,,,Tomatoes Onions Cabbages Kales Spinach Carrots French Beans Chillies Maize,
,,29,,,,,,,,,,,,,,,,,,,,"Source:Department of Agriculture, County Government of Trans Nzoia *Provisional",
