Category,Area (Km2),page,Climatic Condition,Unit,2013,2014,col_0,Units,col_2,*Provisional,Sub County,High Potential,Medium Potential,Low Potential,All Other Land,Total
Total Area Arable Area Non-Arable Land Water Mass,"2,495.60 1,980.00 515.6 -",19,,,,,,,,,,,,,,
Source: County Integrated Development Plan 2013-2017,,19,,,,,,,,,,,,,,
,,19,Rainfall (annual average) Long rains (average)(MAM) Short rains (average)(OND) Temperature (annual average Lowest) Temperature (annual average highest) Temperature (annual average),mm mm mm 0C 0C 0C,"1,477.20 508 302.7 12.5 26.6 19.5","1,275.00 319.3 348.2 12.7 26.5 19.6",,,,,,,,,,
,,19,"Source: Meteorological Department-TransNzoia County Key: MAM-March, April May OND-October, November & December",,,,,,,,,,,,,
,,19,,,,,Altitude: Highest point Altitude: Lowest point Latitudes Longitudes,Metres a.s.l Metres a.s.l Degrees N/S Degrees E/W,"1 ,800 1 ,400 0-52′ and 1-18′N 34-38′ and 35-23′E",,,,,,,
,,19,,,,,,,,a.s.l.:Above see level,,,,,,
,,27,,,,,Upper Midland (UM)1-3 Lower Midland (LM)1-2 Lower Highland (LH)2 Upper Highland (UH) Upper Midland (UM)3-4,,"coffee,maize,beans,citrus,sunflower,Tea,Bananas,passion fruits,avocado,dairy,beef,sheepand horticulture production Pyrethrum,Maize,Livestock,Sorghum,Irish Potatoes,Vegetables,Temperate fruits,Tea,Forest pyrethrum,wheat,tea,maize,barley,sunflower,coffee and horticulture asrearing of cattle and sheep The area is covered with high vegetation/Forest Reserve,shallow stony soils with rocky outcrop.Mt.Elgon National Park(Buffer Zone which is situated in this zone is a major tourist attraction. Has potential for sheep and dairy especially at the transition Tea,Maize,Livestock(dairy and beef),Wheat, Barley and Horticulture.",,"Kiminini,Kwanza,Endebes and parts of Cherangany especially Kaplamai zone Cherangany and Saboti Endebes and Cherangany Endebes, Parts of Saboti. It covers Hills and Steep slopes of Mt. Elgon, Cherangany and Boundary zones towards West Pokot Endebes, upto slopes of cherangany hills",,,,,
,,27,,,,,"Source: Department of Agriculture, County Government of Trans Nzoia",,,,,,,,,
,,27,,,,,,,,,,,,,,
,,27,,,,,,,,,,,,,,
,,27,,,,,,,,,,,,,,
,,27,,,,,,,,,,,,,,
,,27,,,,,,,,,Endebess Kwanza Cherangany Kiminini Saboti,680 466.9 629.8 395.3 323.6,- - - - -,- - - - -,- - - - -,680 466.9 629.8 395.3 323.6
,,27,,,,,,,,,Total,"2,495.6",-,-,-,"2,495.6"
,,27,,,,,,,,,"Source: Department of Agriculture, County Government of Trans Nzoia",,,,,
