Male,Female,Total,HHs,Av. HH Size,Approx. Area (Sq.Km),page,2010,col_1,col_2,2011,col_4,col_5,2012,col_7,col_8,2013,col_10,col_11,col_12,col_13,col_3,Sub-County,High Potential,Medium Potential,Low Potential,All Other Land,Area Cropped (Hectares)
"5,482,381 7,607,113 10,628,368 14,205,589 19,192,458","5,460,324 7,719,948 10,815,268 14,481,018 19,417,639","10,942,705 15,327,061 21,443,636 28,686,607 38,610,097","1,938,186 2,956,369 4,352,751 6,371,370 8,767,954",5.6 5.2 4.9 4.5 4.4,"581,313 581,313 581,313 581,313 581,313",21,,,,,,,,,,,,,,,,,,,,,
,,,,,,22,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,
,,,,,,22,"67,369 60,005 54,175 44,151 30,379 22,617 18,494 14,240 11,095 10,067 7,971 6,283 5,179 3,734 3,277 2,484 2,829","67,501 60,856 54,561 43,779 37,932 27,075 21,491 16,947 13,942 12,582 10,290 7,645 6,445 4,696 4,133 3,175 3,663","134,870 120,861 108,737 87,930 68,311 49,693 39,985 31,187 25,038 22,649 18,261 13,928 11,624 8,431 7,410 5,660 6,492","68,542 61,050 55,119 44,920 30,908 23,011 18,816 14,488 11,289 10,242 8,110 6,393 5,269 3,799 3,334 2,528 2,879","68,449 61,711 55,328 44,394 38,465 27,455 21,792 17,185 14,138 12,759 10,434 7,752 6,536 4,762 4,191 3,220 3,714","136,984 122,756 110,442 89,309 69,383 50,472 40,612 31,676 25,430 23,004 18,548 14,146 11,806 8,563 7,526 5,749 6,594","69,764 62,138 56,101 45,720 31,459 23,422 19,152 14,746 11,490 10,424 8,255 6,507 5,363 3,867 3,393 2,573 2,930","69,444 62,608 56,132 45,040 39,024 27,855 22,109 17,435 14,344 12,945 10,586 7,865 6,631 4,831 4,252 3,267 3,768","139,195 124,737 112,224 90,750 70,502 51,287 41,267 32,187 25,841 23,375 18,847 14,374 11,997 8,701 7,648 5,841 6,700","71,039 63,274 57,127 46,556 32,034 23,850 19,502 15,016 11,700 10,615 8,405 6,625 5,461 3,938 3,455 2,620 2,983","70,487 63,548 56,975 45,716 39,610 28,273 22,441 17,697 14,559 13,139 10,745 7,983 6,730 4,904 4,316 3,316 3,825","141,506 126,808 114,087 92,256 71,673 52,138 41,952 32,722 26,270 23,763 19,160 14,613 12,196 8,845 7,775 5,938 6,811","72,358 64,449 58,187 47,420 32,628 24,292 19,864 15,294 11,917 10,812 8,561 6,748 5,562 4,011 3,519 2,668 3,039","71,571 64,526 57,852 46,419 40,219 28,708 22,786 17,969 14,783 13,341 10,910 8,105 6,834 4,979 4,383 3,367 3,883",,,,,,,
,,,,,,22,"364,350","396,714","761,065","370,695","402,287","772,999","377,303","408,137","785,473","384,199","414,265","798,514","391,332","420,636",,,,,,,
,,,,,,23,,Females,Total,,Females,,,,,Males,,,,,Males,,,,,,
,,,,,,23,,"14,666 27,740 42,087 96,266 39,153 56,424 112,760 219,913 194,352 1 81,435 206,893 16,361","29,295 55,663 84,665 191,865 80,057 104,786 209,217 441,545 356,969 1 81,435 386,743 29,369",,"14,892 28,167 42,734 97,748 39,755 57,292 114,494 223,296 197,340 184,225 210,074 16,612",,,,,"14,632 27,930 42,590 95,621 40,916 48,340 96,406 221,689 162,510 - 179,764 12,996",,,,,"14,903 28,452 43,381 97,396 41,676 49,237 98,194 225,808 165,524 - 183,098 13,237",,,,,,
,,,,,,23,,Female,Total,,Female,,,,,Male,,,,,Male,,,,,,
,,,,,,23,,"7,663 2,003","15,734 4,406",,"8,272 2,143",,,,,"8,071 2,403",,,,,"8 ,382 2 ,280",,,,,,
,,,,,,23,,Home,Number,,Home,,,,,Health Facility,,,,,Health Facility,,,,,,
,,,,,,23,,27.8 39.9,"15,734 4,406",,17.9 55.1,,,,,72.2 60.1,,,,,82.1 44.9,,,,,,
,,,,,,23,,Registered,Coverage,,Registered,,,,,Expected,,,,,Expected,,,,,,
,,,,,,23,,"15,734 4,406",63.8 60.5,,"16,654 4,423",,,,,"24,668 7,278",,,,,"2 5,048 7 ,318",,,,,,
,,,,,,28,,,,,,,,,,,,,,,,TESO SOUTH BUNYALA NAMBALE TESO NORTH ..,,,,,
,,,,,,28,,,,,,,,,,,,,,,,,"1 0,000 2 0,000 2 1,300 1 8,800","6 ,500 1 ,200 .. 1 0,300","1 ,500 5 80 .. 8 80","1 ,500 2 ,000 3 ,200 ..",
,,,,,,28,,,,,,,,,,,,,,,,,"7 0,100","1 8,000","2 ,960","6 ,700",
,,,,,,28,,2014*,2013,,,,,,,,,,,,,,,,,,2013
,,,,,,28,,"21,790 12,150 2,984 4,380 9,368","31,723 11,599 7,227 4,176 55,410",,,,,,,,,,,,,,,,,,"17,160 13,560 4,415 4,020 9,235 10 32 1 192 84 5,820"
,,,,,,28,,.. .. .. .. ..,"81,000 55,000 1,000 6,702 643,000",,,,,,,,,,,,.. .. .. .. ..,,,,,,
,,,,,,28,,"4,111","23,280",,,,,,,,,,,,"20,555",,,,,,
