Male,Female,Total,HHs,Av. HH Size,Approx. Area (Sq.Km),page,col_0,Sex,col_2,col_3,Density,2010,col_1,2011,col_4,col_5,2012,col_7,col_8,2013,col_10,col_11,col_12,col_13,Geographical Distribution,High Potential Km²,Medium Potential Km²,Low Medium Km²,Low potential Km²,Area Cropped (Hectares),Production (Tonnes),Crop,2014*,col_6,r 50 Kg Bag
"5,482,381 7,607,113 10,628,368 14,205,589 19,192,458","5,460,324 7,719,948 10,815,268 14,481,018 19,417,639","10,942,705 15,327,061 21,443,636 28,686,607 38,610,097","1,938,186 2,956,369 4,352,751 6,371,370 8,767,954",5.6 5.2 4.9 4.5 4.4,"581,313 581,313 581,313 581,313 581,313",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,Male,Female,Total,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,"112,485","117,216","229,701",721 514 495 733 180 607 565 580 480,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,Bumula Tongaren Kimilili Mt. Elgon Kabuchai,"86,228 91,153 64,618 86,119 68,731","92,669 96,325 68,204 86,258 72,382","178,897 187,478 132,822 172,377 141,113",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,"74,475 37,902 49,837","78,179 39,697 52,585","152,654",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,"77,599",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,"102,422",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,"671,548","703,515","1,375,063",453,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,Source: Kenya Nati,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,22,,,Total,,,Male,Female,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,
,,,,,,22,,,"254,545 231,480 194,863 161,187 126,746 94,261 76,283 61,011 46,376 42,868 32,322 24,453 18,019 13,260 10,722 8,054 10,325",,,"127,705 115,377 97,614 80,813 59,033 44,072 35,930 29,605 21,938 20,407 15,386 11,505 8,457 6,092 4,966 3,687 4,507","126,841 116,103 97,250 80,375 67,713 50,189 40,353 31,406 24,438 22,461 16,936 12,949 9,561 7,169 5,756 4,367 5,818","129,929 117,386 99,314 82,220 60,061 44,840 36,556 30,120 22,320 20,763 15,654 11,705 8,605 6,198 5,052 3,751 4,586","128,623 117,734 98,616 81,504 68,664 50,894 40,920 31,847 24,781 22,776 17,173 13,130 9,696 7,269 5,837 4,428 5,900","258,537 235,109 197,918 163,714 128,733 95,739 77,480 61,967 47,103 43,540 32,829 24,837 18,301 13,468 10,890 8,180 10,487","132,245 119,479 101,084 83,686 61,131 45,639 37,207 30,657 22,718 21,133 15,933 11,914 8,758 6,308 5,142 3,818 4,667","130,494 119,446 100,050 82,689 69,662 51,634 41,515 32,310 25,141 23,107 17,423 13,321 9,837 7,375 5,922 4,492 5,985","262,709 238,903 201,112 166,356 130,811 97,284 78,730 62,967 47,863 44,243 33,359 25,238 18,597 13,686 11,066 8,312 10,656","134,662 121,662 102,931 85,215 62,248 46,473 37,887 31,218 23,133 21,519 16,225 12,131 8,918 6,424 5,236 3,888 4,753","132,453 121,240 101,552 83,931 70,708 52,409 42,138 32,795 25,519 23,454 17,685 13,521 9,984 7,486 6,011 4,560 6,075","267,070 242,869 204,451 169,118 132,982 98,899 80,037 64,013 48,658 44,978 33,912 25,657 18,905 13,913 11,250 8,450 10,833","137,162 123,921 104,843 86,797 63,404 47,336 38,591 31,797 23,562 21,919 16,526 12,357 9,084 6,543 5,333 3,960 4,841","134,490 123,104 103,114 85,221 71,796 53,215 42,786 33,300 25,911 23,815 17,957 13,729 10,138 7,601 6,104 4,630 6,169",,,,,,,,,,,
,,,,,,22,,,"1,406,776",,,"687,094","719,683","699,059","729,793","1,428,835","711,520","740,405","1,451,892","724,523","751,522","1,475,995","737,977","763,081",,,,,,,,,,,
,,,,,,23,,,Total,Males,,,Females,,Females,,,,,Males,,,,,,,,,,,,,,,
,,,,,,23,,,"5 4,713 1 05,595 1 59,670 3 57,468 1 43,409 1 95,635 3 92,789 8 20,855 6 55,140 3 30,954 7 17,159 4 4,446","2 8,229 5 4,233 8 1,889 1 82,633 7 3,649 9 5,496 1 90,484 4 20,632 3 17,345",,,"2 7,010 5 2,371 7 9,299 1 78,215 7 1,127 1 01,864 2 05,733 4 08,021 3 43,501 3 30,954 3 72,144 2 4,132",,"2 7,425 5 3,176 8 0,519 1 80,955 7 2,220 1 03,431 2 08,897 4 14,295 3 48,786 3 36,044 3 77,868 2 4,504",,,,,"2 7,714 5 3,244 8 0,396 1 79,303 7 2,306 9 3,755 1 87,011 4 12,963 3 11,560",,,,,,,,,,,,,,,
,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,23,,,,"3 51,373 2 0,677",,,,,,,,,,"3 44,967 2 0,301",,,,,,,,,,,,,,,
