Census Year,Male,Female,Intersex,Total,HHs,Av� HH Size,Approx� Area,Density (Persons /Km2),page,Year,Number,col_1,col_2,col_3,col_4,col_5,col_6,col_7,Sub County,Total Population,Households,Avg Household Size,Land Area (Sq� Km),Density (Persons Per Sq� Km)
,"241,194","256,227",,"497,421","88,664",5.6,--,,19,,,,,,,,,,,,,,,
1989,"304,654","332,171",,"636,825","104,332",6.1,"7,437.0",85.6,19,,,,,,,,,,,,,,,
,"372,639","398,906",,"771,545","144,320",5.3,"7,965.8",,19,,,,,,,,,,,,,,,
2009,"430,708","453,819",,"884,527","186,478",4.7,"8,008.8",110.4,19,,,,,,,,,,,,,,,
,"489,691","497,942",20,"987,653","244,669",4.0,"8,176.7",,19,,,,,,,,,,,,,,,
,"497,047","510,480",,"1,007,527","249,686",,,,19,,,,,,,,,,,,,,,
,"502,388","516,730",,"1,019,118","253,376",4,,,19,2021,,,,,,,,,,,,,,
,"507,729","522,980",,"1,030,709","256,993",,,,19,,,,,,,,,,,,,,,
,"513,070","529,230",,"1,042,300","260,537",4,,,19,2023,,,,,,,,,,,,,,
,"518,411","535,480",,"1,053,891","264,010",,,,19,,,,,,,,,,,,,,,
,"523,752","541,730",,"1,065,482","267,414",4,,,19,2025,,,,,,,,,,,,,,
,,,,,,,,,22,,Sub County,2009,,,2019,,,,,,,,,
,,,,,,,,,22,,,Male,Female,Total,Male,Female,Intersex,Total,,,,,,
,,,,,,,,,22,,Mukaa,"43,331","44,533","87,864","54,481","53,068",0,"107,549",,,,,,
,,,,,,,,,22,,Nzaui,"57,079","59,732","116,811","63,171","63,526",4,"126,701",,,,,,
,,,,,,,,,22,,Total,"430,710","453,817","884,527","489,691","497,942",20,"987,653",,,,,,
,,,,,,,,,22,,"Source: 2019 KPHC, Kenya National Bureau of Statistics",,,,,,,,,,,,,
,"489,691","497,942",20,,,,,,22,,,,,,,,,,Makueni,"987,653","244,669",4,"8,177",121
,"39,335","40,442",3,,,,,,22,,,,,,,,,,Kathonzweni,"79,780","18,365",4,881,91
,"98,477","98,517",6,,,,,,22,,,,,,,,,,Kibwezi,"197,000","47,912",4,"3,137",63
,"29,019","31,932",1,,,,,,22,,,,,,,,,,Kilungu,"60,952","14,586",4,154,395
,"42,204","42,742",-,,,,,,22,,,,,,,,,,Makindu,"84,946","21,756",4,852,100
,"65,418","64,955",2,,,,,,22,,,,,,,,,,Makueni,"130,375","34,479",4,609,214
,"48,152","49,601",3,,,,,,22,,,,,,,,,,Mbooni East,"97,756","23,734",4,693,141
,"49,434","53,159",1,,,,,,22,,,,,,,,,,Mbooni West,"102,594","24,833",4,271,379
,"54,481","53,068",-,,,,,,22,,,,,,,,,,Mukaa,"107,549","28,185",4,804,134
,"63,171","63,526",4,,,,,,22,,,,,,,,,,Nzaui,"126,701","30,819",4,775,163
,,,,,,,,,22,,,,,,,,,,"Source: 2019 KPHC, Kenya National Bureau of Statistics",,,,,
,,,,,,,,,22,,Year,Births,,,Deaths,,,,,,,,,
,,,,,,,,,22,,,Male,Female,Total,Male,Female,Total,,,,,,,
,,,,,,,,,22,,2019,"8,762","8,860","17,622","2,296","2,230","4,526",,,,,,,
,,,,,,,,,22,,2020,"11,997","12,482","26,479","3,540","1,956",,,,,,,,
,,,,,,,,,22,,2021,"9,798","10,200","19,998","3,101","2,693","5,794",,,,,,,
,,,,,,,,,22,,2022,"10,221","10,395","20,616","2,889","2,247","5,136",,,,,,,
,,,,,,,,,22,,2023*,"11,285","10,401","21,686","3,145","2,475","5,620",,,,,,,
,,,,,,,,,22,,"Source: Civil Registration Services, Makueni County.",,,,,,,,,,,,,
,,,,,,,,,22,,,Births,,,Deaths,,,,,,,,,
,,,,,,,,,22,,Year,Hospital Facility,Home,Total,Hospital Facility,Home,Total,,,,,,,
,,,,,,,,,22,,,"17,476 146 17,622",,,,,,,,,,,,
,,,,,,,,,22,,2020,"20,586",3893,"24,479","3,080","2,416","5,496",,,,,,,
,,,,,,,,,22,,,"19,797 201 19,998",,,,,,,,,,,,
,,,,,,,,,22,,2022,"20,228",388,"20,616","2,685","2,451","5,136",,,,,,,
,,,,,,,,,22,,2023*,"21,565",121,"21,686","2,622","2,998","5,620",,,,,,,
,,,,,,,,,22,,"Source: Civil Registration Services, Makueni County",,,,,,,,,,,,,
