Sub-County,Divisions,Locations,Sub - Locations,Population,Land Area (SQ Km�),page,Number,col_1,col_2,col_3,col_4,Category,Area Km2
Kathonzweni,5,11,19,"79,780",880.7,18,,,,,,,
Kibwezi,3,10,21,"197,000",3137.4,18,,,,,,,
Kilungu,2,7,16,"60,952",154.3,18,,,,,,,
Makindu,1,4,15,"84,946",852.1,18,,,,,,,
Makueni,3,13,30,"130,375",609.3,18,,,,,,,
Mbooni East,6,17,39,"97,756",693.3,18,,,,,,,
Mbooni West,3,14,24,"102,594",270.7,18,,,,,,,
Mukaa,4,11,24,"107,549",,18,,,,,,,
Nzaui,5,21,55,"126,701",775.2,18,,,,,,,
Total,32,108,243,"987,653","8,176.7",18,,,,,,,
"Source: KNBS, KPHC 2019",,,,,,18,,,,,,,
,,,,,,18,Sub County,Wards,Sub Wards,County Clusters,County Villages,,
,,,,,,18,,6,12,72,,,
,,,,,,18,Kilome,3,6,39,403,,
,,,,,,18,,4,8,41,,,
,,,,,,18,Makueni,7,14,94,951,,
,,,,,,18,,6,12,80,,,
,,,,,,18,Kibwezi East,4,8,51,603,,
,,,,,,18,Total,30,60,377,"3,643",,
,,,,,,18,"Source: Department of Devolution, Public service, Public Participation and Special Programmes, County Government of Makueni.",,,,,,
,,,,,,18,,,,,,Total Area,"8,176.70"
,,,,,,18,,,,,,Arable Area,"5,042.70"
,,,,,,18,,,,,,Non-Arable Land,"1,762.70"
,,,,,,18,,,,,,Gazetted Forest,150.2
,,,,,,18,,,,,,Non- gazetted forest,76.00
,,,,,,18,,,,,,,-
,,,,,,18,,,,,,National Parks/Reserves,"1,276.50"
,,,,,,18,,,,,,Urban Area,31.5
,,,,,,18,,,,,,"Source: Department of Lands, Urban Planning and Development, Environment and Climate Change, Makueni County",
