Male,Female,Total,HHs,Av. HH Size,Approx. Area (Sq.Km),page,2010,col_1,col_2,2011,col_4,col_5,2012,col_7,col_8,2013,col_10,col_11,col_12,col_13,col_3,Place of Occurrence,Births,Deaths
"5,482,381 7,607,113 10,628,368 14,205,589 19,192,458","5,460,324 7,719,948 10,815,268 14,481,018 19,417,639","10,942,705 15,327,061 21,443,636 28,686,607 38,610,097","1,938,186 2,956,369 4,352,751 6,371,370 8,767,954",5.6 5.2 4.9 4.5 4.4,"581,313 581,313 581,313 581,313 581,313",23,,,,,,,,,,,,,,,,,,
,,,,,,24,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,
,,,,,,24,"98,195 94,336 85,869 68,311 60,039 59,280 50,985 39,524 27,587 25,926 19,599 15,853 13,074 7,802 7,491 4,587 7,593","96,423 93,063 85,544 70,591 68,851 63,946 48,848 38,526 27,255 26,572 20,421 14,717 13,407 8,456 8,588 5,013 10,999","194,618 187,399 171,413 138,902 128,891 123,227 99,833 78,050 54,843 52,498 40,019 30,570 26,481 16,258 16,079 9,600 18,593","99,320 95,417 86,853 69,094 60,728 59,960 51,570 39,977 27,903 26,223 19,823 16,034 13,224 7,892 7,577 4,640 7,680","97,096 93,713 86,141 71,084 69,332 64,393 49,189 38,795 27,446 26,758 20,563 14,820 13,500 8,515 8,648 5,048 11,076","196,416 189,130 172,995 140,178 130,060 124,353 100,759 78,772 55,349 52,981 40,387 30,854 26,725 16,406 16,225 9,688 18,757","100,480 96,531 87,867 69,901 61,437 60,660 52,172 40,444 28,229 26,529 20,055 16,222 13,379 7,984 7,665 4,694 7,770","97,809 94,402 86,774 71,606 69,842 64,866 49,551 39,080 27,647 26,954 20,714 14,929 13,600 8,577 8,711 5,085 11,158","198,289 190,933 174,642 141,507 131,278 125,526 101,722 79,524 55,876 53,484 40,769 31,150 26,978 16,561 16,377 9,779 18,928","101,675 97,679 88,912 70,732 62,167 61,381 52,792 40,925 28,565 26,845 20,293 16,415 13,538 8,079 7,757 4,749 7,863","98,561 95,127 87,441 72,156 70,378 65,364 49,931 39,380 27,860 27,161 20,873 15,043 13,704 8,643 8,778 5,125 11,243","200,235 192,806 176,353 142,888 132,545 126,746 102,723 80,305 56,425 54,006 41,167 31,458 27,242 16,722 16,535 9,874 19,106","102,895 98,852 89,980 71,581 62,914 62,118 53,426 41,416 28,908 27,167 20,537 16,612 13,700 8,176 7,850 4,807 7,957","99,344 95,883 88,136 72,730 70,937 65,884 50,328 39,693 28,081 27,377 21,039 15,163 13,813 8,712 8,848 5,165 11,333",,,,
,,,,,,24,"686,053","701,221","1,387,275","693,915","706,117","1,400,032","702,018","711,305","1,413,323","710,365","716,770","1,427,135","718,895","722,467",,,,
,,,,,,25,,Females,Total,,Females,,,,,Males,,,,,Males,,,
,,,,,,25,,"20,086 37,817 61,155 146,119 60,996 97,493 212,788 326,172 390,598 352,230 401,850 33,789","40,681 77,199 124,705 294,666 121,010 186,564 416,033 658,262 768,873 695,638 795,505 62,237",,"20,245 38,116 61,641 147,280 61,481 98,267 214,479 328,764 393,703 355,030 405,045 34,058",,,,,"20,595 39,387 63,554 148,543 60,012 89,073 203,246 332,090 378,275 343,407 393,653 28,448",,,,,"20,842 39,860 64,317 150,327 60,732 90,143 205,687 336,078 382,817 347,530 398,379 28,790",,,
,,,,,,25,,,2014*,,2014*,,,,,,,,,,,,2013,2013
,,,,,,25,,,"26,014 477",,"3,478 2,834",,,,,,,,,,,Registered at Health facility Registered at Home,"24,612 477","3,274 3,059"
,,,,,,25,,,"26,491",,"6,312",,,,,,,,,,,Total,"25,089","6,333"
,,,,,,25,,Registered No,Coverage %,,Registered No,Coverage %,,,,Expected No.,,,,,Expected No.,,,
,,,,,,25,,"2 5,089 6 ,333",5 1 5 5,,"2 6,491 6 ,312",,,,,"4 9,669 1 1,583",,,,,"4 9,677 1 1,550",,,
