Male,Female,Total,HHs,Av. HH Size,Approx. Area (Sq.Km),page,Sex,col_1,Density,2010,col_2,2011,col_4,col_5,2012,col_7,col_8,2013,col_10,col_11,col_12,col_13,2014*,col_3,Area Cropped (Hectares),Production (Tonnes),Number,Quantity (Kg),Type,Quantity (Million litres)
"5,482,381 7,607,113 10,628,368 14,205,589 19,192,458","5,460,324 7,719,948 10,815,268 14,481,018 19,417,639","10,942,705 15,327,061 21,443,636 28,686,607 38,610,097","1,938,186 2,956,369 4,352,751 6,371,370 8,767,954",6 5 5 5 4,"581,313 581,313 581,313 581,313 581,313",21,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,Male,Female,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,"71,648 110,049 16,928","70,386 114,382 15,834",48 58 13,,,,,,,,,,,,,,,,,,,,,
,,,,,,22,,Female,,Male,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,
,,,,,,22,,"30,504 27,694 25,059 20,918 18,431 17,865 13,997 11,353 9,582 7,420 5,334 4,386 3,645 2,882 1,932 1,247 2,596",,"30,954 28,761 26,514 21,725 17,134 15,467 13,556 11,190 9,361 7,388 5,191 4,148 3,531 2,821 1,914 1,222 1,936","61,458 56,455 51,573 42,643 35,565 33,332 27,553 22,543 18,943 14,808 10,525 8,534 7,176 5,703 3,846 2,469 4,532","31,774 29,418 27,227 22,571 18,094 16,158 14,180 11,737 9,889 7,725 5,443 4,334 3,692 2,916 1,968 1,242 1,843","31,439 28,457 25,766 21,518 19,081 18,838 14,931 11,896 10,080 7,788 5,630 4,573 3,788 2,984 1,992 1,273 2,473","63,213 57,875 52,993 44,089 37,175 34,996 29,111 23,633 19,969 15,513 11,073 8,907 7,480 5,900 3,960 2,515 4,316","32,669 30,074 27,927 23,365 19,066 16,891 14,846 12,284 10,483 8,072 5,716 4,523 3,866 3,017 2,029 1,263 1,771","32,428 29,219 26,501 22,139 19,651 19,775 15,993 12,455 10,632 8,162 5,956 4,771 3,941 3,092 2,057 1,302 2,373","65,097 59,293 54,428 45,504 38,717 36,666 30,839 24,739 21,115 16,234 11,672 9,294 7,807 6,109 4,086 2,565 4,144","33,633 30,730 28,617 24,114 20,030 17,680 15,541 12,838 11,121 8,444 6,008 4,722 4,053 3,128 2,095 1,288 1,713","33,466 29,975 27,262 22,779 20,174 20,672 17,132 13,065 11,221 8,554 6,304 4,989 4,103 3,206 2,127 1,334 2,294","67,099 60,705 55,879 46,893 40,204 38,352 32,673 25,903 22,342 16,998 12,312 9,711 8,156 6,334 4,222 2,622 4,007","34,660 31,383 29,299 24,827 20,954 18,550 16,255 13,414 11,772 8,859 6,308 4,935 4,246 3,251 2,166 1,316 1,667","34,552 30,722 28,037 23,425 20,691 21,527 18,272 13,773 11,832 8,974 6,659 5,232 4,274 3,329 2,202 1,372 2,230",,,,,,,,
,,,,,,22,,"204,845",,"202,813","407,658","210,211","212,507","422,718","217,862","220,447","438,309","225,755","228,657","454,412","233,862","237,103",,,,,,,,
,,,,,,23,,Females,,,Total,,Females,,,,,Males,,,,,Males,,,,,,,
,,,,,,23,,"6,924 12,644 20,287 45,962 19,249 28,590 70,536 1 05,066 1 23,591 1 13,597 1 28,993 8,961",,,"13,944 25,191 40,848 93,648 39,624 57,525 1 36,930 2 13,255 2 41,157 2 23,365 2 53,544 17,185",,"7,149 13,054 20,897 47,186 19,795 29,345 73,512 1 08,082 1 29,021 1 18,494 1 34,659 9,133",,,,,"7,019 12,548 20,560 47,686 20,375 28,936 66,395 1 08,188 1 17,567 1 09,768 1 24,551 8,224",,,,,"7,233 12,931 21,128 48,760 20,948 30,123 69,357 1 11,000 1 22,862 1 14,631 1 30,120 8,400",,,,,,,
,,,,,,23,,registered,,,coverage,,registered,,,,,Expected,,,,,,Expected,,,,,,
,,,,,,23,,"7,646",,,44.5,,"7,611",,,,,"17,165",,,,,,"17,878",,,,,,
,,,,,,23,,"1,752",,,30.1,,"1,644",,,,,"5,813",,,,,,"5,991",,,,,,
,,,,,,23,,Female,,,Total,,Female,,,,,Male,,,,,,Male,,,,,,
,,,,,,23,,"3,633 751",,,"7,646 1,752",,"3,725 712",,,,,"4,013 1,001",,,,,,"3,866 932",,,,,,
,,,,,,23,,Home,,,Number,,Home,,,,,Health Facility,,,,,,Health Facility,,,,,,
,,,,,,23,,21.1 45.0,,,"7,646 1,752",,19.3 47.0,,,,,78.9 55.0,,,,,,80.7 53.0,,,,,,
,,,,,,27,,2014*,,,,,2013,,,,,,,,,,,2014*,2013,2013,,,,
