col_0,2013,col_2,page,Category,Trade Name,Unit,Jan,Feb,March,April,May,June,July,August,Sept,Oct,Nov,Nanyuki FG WS,Nyahururu FG WS,col_4,Rumuruti FG WS,col_6,Karandi FG WS,col_8,Kinamba FG WS,col_10,col_11
Number of Registered Businesses Permits Paid (Ksh.) Penalities Paid (Ksh),8260 9737500 ..,.. 12702500 ..,24,,,,,,,,,,,,,,,,,,,,,,,,
Total Paid,9737500,12702500,24,,,,,,,,,,,,,,,,,,,,,,,,
Revenue Potential Percentage of Compliance,31858500 31,31858500 40,24,,,,,,,,,,,,,,,,,,,,,,,,
,,,24,Trading Centers,,,,,,,,,,,,,,,,,,,,,,,
,15,,24,Trading Centers Licensed Businesses,,,,,,,,,,,,,,,,,,,,,,,
,96 2 119 12 22 13 15 890 ..,,24,Licenced Retail Traders (excl. Supermarkets) Supermarkets (Incl. branches) Licenced Wholesale Traders Licenced Hawkers Registered Hotels Petrol Stations Licensed Liquor Outlets Informal Enterprises Other Licenced Businesses,,,,,,,,,,,,,,,,,,,,,,,
,,,24,"Source: Revenue Office, County Government of Laikipia",,,,,,,,,,,,,,,,,,,,,,,
,,,24,,,,,,,,,,,,,,,,,,,,,,,,
,,Low,28,,,,,,,,,,,,,,,,,,,,,,,,
,,"2,000 1,500 2,000 3,200 1,600 - 2,800 2,000 870",28,,DAP CAN 20:20:00 17:17:17 Urea MAP Mavumo 23:23:00 Omex,50Kg 50Kg 50Kg 50Kg 50Kg 50kg 50Kg 50Kg 1L,,,,,,,,,,,,,,,,,,,,,
,,"- 450 230 1,000 550 110 - 50 250",28,,Actara Actellic Bestox 100 EC Bulldock 025 EC Confidor 70 WG Danadim Decis 2.5 EC Diazinon Tata alpha,1kg 100ml 500ml 60g 100ml - 28ml 100ml,,,,,,,,,,,,,,,,,,,,,
,,"1,500 1,900 1,600 900 200",28,,Master 72WP Ridomil Milraz Antracol Ortiva,1kg 1kg 1kg 1kg 200 ml,,,,,,,,,,,,,,,,,,,,,
,,"600 600 600 1,100 1,250",28,,D-amine Weedall Guardinmax Round up turbo Touchdown,1 L 1 L 1 L 1 L 1 L,,,,,,,,,,,,,,,,,,,,,
,,300 300 300 360 360 420 420,28,,H624 H6213 H614 Pioneer 30G19 Pioneer 3253 Duma 43 Western seed,2kg 2kg 2kg 2kg 2kg 2kg 2kgs,,,,,,,,,,,,,,,,,,,,,
,,"3,600 3,000",28,,Duma Potato seed,50kgs 50kg,,,,,,,,,,,,,,,,,,,,,
,155 20 10 75 5 55 2,,29,,,,,,,,,,,,,,,,,,,,,,,,
,,,29,,,,37.00 80.37,38.20 72.8,38.16 84.85,40.45 94.8,40.95 90.75,42.47 82.92,44.32 77.27,41.72 80.18,43.42 ..,39.68 ..,36.75 ..,,,,,,,,,,
,,50.00 80.00 20.00 20.00 70.00 40.00 45.00 40.00 30.00 30.00 50.00 25.00 60.00 60.00 40.00 30.00 60.00 50.00,29,,,Head Kg Kg Kg Kg Kg Kg Fruit Kg Kg Kg Kg Fruit Kg Kg Kg Kg Kg,,,,,,,,,,,,30.00 70.00 10.00 10.00 50.00 30.00 40.00 30.00 20.00 25.00 30.00 20.00 40.00 40.00 35.00 25.00 50.00 40.00,25.00 80.00 25.00 25.00 70.00 30.00 35.00 30.00 25.00 30.00 40.00 20.00 40.00 45.00 30.00 20.00 50.00 35.00,50.00 100.00 30.00 30.00 80.00 35.00 40.00 35.00 30.00 35.00 50.00 30.00 60.00 60.00 40.00 30.00 60.00 40.00,20.00 80.00 5.00 20.00 50.00 20.00 30.00 25.00 - - 40.00 30.00 40.00 40.00 45.00 35.00 35.00 35.00,80.00 100.00 10.00 15.00 70.00 35.00 35.00 30.00 45.00 35.00 50.00 60.00 60.00 55.00 60.00 50.00,25.00 70.00 10.00 15.00 50.00 - - 20.00 25.00 - 40.00 30.00 - 40.00 45.00 40.00 35.00 40.00,40.00 80.00 15.00 20.00 70.00 30.00 30.00 45.00 40.00 60.00 60.00 50.00 50.00 50.00,30.00 80.00 10.00 15.00 70.00 - 30.00 25.00 30.00 - 40.00 20.00 - 40.00 30.00 30.00 40.00 40.00,40.00 10.00 15.00 20.00 80.00 40.00 30.00 40.00 45.00 35.00 55.00 40.00 40.00 60.00 50.00,30.00 70.00 10.00 25.00 70.00 - 35.00 30.00 20.00 - 45.00 25.00 - 30.00 30.00 30.00 40.00 25.00
