Male,Female,Total,HHs,Av. HH Size,Approx. Area (Sq.Km),page,2010,col_1,col_2,2011,col_4,col_5,2012,col_7,col_8,2013,col_10,col_11,col_12,col_13,col_3
"5,482,381 7,607,113 10,628,368 14,205,589 19,192,458","5,460,324 7,719,948 10,815,268 14,481,018 19,417,639","10,942,705 15,327,061 21,443,636 28,686,607 38,610,097","1,938,186 2,956,369 4,352,751 6,371,370 8,767,954",0.5 5.2 4.9 4.5 4.4,"581,313 581,313 581,313 581,313 581,313",23,,,,,,,,,,,,,,,
,,,,,,24,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,
,,,,,,24,"82,872 84,281 76,844 63,636 33,462 24,347 22,444 21,129 15,242 13,708 11,220 10,242 8,910 6,191 6,047 3,821 7,938","81,277 82,117 74,226 60,777 41,662 36,863 31,757 27,980 19,851 18,246 14,107 12,407 12,079 7,426 7,455 4,247 11,021","164,149 166,398 151,069 124,413 75,124 61,210 54,201 49,109 35,093 31,954 25,327 22,648 20,989 13,617 13,501 8,068 18,959","83,822 85,246 77,724 64,365 33,845 24,626 22,701 21,371 15,417 13,865 11,348 10,359 9,012 6,262 6,116 3,865 8,029","81,845 82,690 74,744 61,201 41,953 37,120 31,979 28,175 19,990 18,374 14,206 12,493 12,164 7,478 7,507 4,277 11,098","165,666 167,937 152,468 125,567 75,799 61,747 54,680 49,546 35,406 32,238 25,554 22,852 21,176 13,740 13,623 8,142 19,127","84,800 86,242 78,632 65,117 34,241 24,914 22,966 21,621 15,597 14,027 11,481 10,480 9,117 6,335 6,187 3,910 8,123","82,446 83,298 75,293 61,651 42,262 37,393 32,214 28,382 20,136 18,509 14,310 12,585 12,253 7,533 7,562 4,308 11,179","167,247 169,540 153,925 126,768 76,502 62,307 55,180 50,003 35,733 32,535 25,791 23,065 21,370 13,868 13,749 8,218 19,302","85,809 87,267 79,567 65,891 34,648 25,210 23,239 21,878 15,782 14,193 11,617 10,605 9,226 6,410 6,261 3,956 8,219","83,080 83,938 75,872 62,125 42,586 37,680 32,462 28,600 20,291 18,651 14,420 12,682 12,347 7,591 7,620 4,342 11,265","168,888 171,205 155,438 128,016 77,234 62,890 55,701 50,478 36,073 32,844 26,038 23,286 21,573 14,001 13,881 8,298 19,485","86,839 88,315 80,522 66,683 35,064 25,513 23,518 22,141 15,972 14,364 11,757 10,732 9,336 6,487 6,336 4,004 8,318","83,740 84,605 76,475 62,618 42,925 37,980 32,720 28,827 20,452 18,799 14,535 12,782 12,445 7,651 7,680 4,376 11,355",
,,,,,,24,"492,333","543,499","1,035,831","497,975","547,293","1,045,268","503,789","551,315","1,055,104","509,780","555,550","1,065,329","515,901","559,965",
,,,,,,25,,Females,Total,,Females,,,,,Males,,,,,Males
,,,,,,25,,"16,680 32,986 50,928 128,197 54,860 63,948 143,073 283,651 271,899 242,395 281,844 30,818","33,918 66,827 104,251 261,618 112,000 122,167 256,432 578,614 486,715 443,236 514,133 55,665",,"16,812 33,250 51,333 129,215 55,296 64,457 144,211 285,906 274,059 244,321 284,083 31,062",,,,,"17,239 33,839 53,327 133,419 57,135 58,225 113,363 294,959 214,821 200,841 232,289 24,846",,,,,"17,446 34,243 53,967 135,021 57,821 58,925 114,724 298,498 217,403 203,255 235,080 25,145"
,,,,,,25,,Female,Total,,Female,,,,,Male,,,,,Male
,,,,,,25,,"10,248 2,140","20,842 4,522",,"13,471 2,226",,,,,"10,594 2,382",,,,,"12,962 2,397"
,,,,,,25,,Home,Health Facility,,,,,,,Health Facility,,,,,
,,,,,,25,,27.2 39.4,68.7 54.6,,,,,,,72.8 60.6,,,,,
