11,Shantabaq,1,page,Sub-County,Divisions,Locations,Sub - Locations,Population,Land Area (SQ Km.),Speaker (ex-officio)
12,Sankuri,1,27,,,,,,,
13,Benaney,1,27,,,,,,,
TOTAL,,30,27,,,,,,,
,,,27,Garissa,3,15,25,"163,909","3,318.0",
,,,27,Balambala,4,15,23,"32,256","3,684.0",
,,,27,Dadaab,2,12,19,"185,244","6,415.0",
,,,27,Fafi,1,3,5,"134,030","15,050.0",
,,,27,Ijara,5,17,21,"141,587","2,453.0",
,,,27,Hulugho,2,11,16,"133,979","7,737.0",
,,,27,Lagdera,3,12,19,"50,314","6,096.0",
,,,27,TOTAL,20,85,128,"841,319","44,753.0",
,,30,28,,,,,,,Elected MCAs
,,18,28,,,,,,,Nominated MCAs
,,48,28,,,,,,,Total
