Male,Female,Total,HHs,Av. HH Size,Approx. Area (Sq.Km),page,2013,col_1,col_2,col_3,col_4,2010,2011,col_5,2012,col_7,col_8,col_10,col_11,col_12,col_13
"5,482,381 7,607,113 10,628,368 14,205,589 19,192,458","5,460,324 7,719,948 10,815,268 14,481,018 19,417,639","10,942,705 15,327,061 21,443,636 28,686,607 38,610,097","1,938,186 2,956,369 4,352,751 6,371,370 8,767,954",5.6 5.2 4.9 4.5 4.4,"581,313 581,313 581,313 581,313 581,313",23,,,,,,,,,,,,,,,
,,,,,,23,Males,Females,Total,Males,Females,,,,,,,,,,
,,,,,,23,"6,964 13,511 22,032 54,471 23,546 34,981 81,102 1 20,524 1 48,835 1 33,818 1 53,976 12,247","6,763 13,136 21,326 53,423 22,243 34,408 82,430 1 16,891 1 56,908 1 35,925 1 57,467 15,711","13,727 26,651 43,357 1 07,893 45,791 69,385 1 63,528 2 37,419 3 05,739 2 69,743 3 11,443 27,957","7,047 13,673 22,296 55,125 23,829 35,400 82,075 1 21,971 1 50,622 1 35,424 1 55,825 12,394","6,817 13,245 21,495 53,847 22,419 34,681 83,084 1 17,823 1 58,152 1 37,004 1 58,716 15,835",,,,,,,,,,
,,,,,,24,Male,Female,Total,,Female,Male,Male,Total,Male,Female,Total,Female,Total,Male,Female
,,,,,,24,"35,009 35,307 32,820 28,830 23,539 22,136 19,161 16,050 12,523 11,579 8,015 6,930 5,213 3,380 3,166 2,121 3,580","33,239 33,513 31,688 25,560 24,019 22,867 19,262 16,207 12,899 12,163 8,464 6,917 5,693 3,862 3,663 2,378 5,466","67,050 67,612 63,384 53,403 46,752 44,246 37,767 31,708 24,993 23,346 16,205 13,610 10,728 7,126 6,721 4,426 8,924",,"33,471 33,747 31,909 25,738 24,186 23,027 19,396 16,320 12,989 12,248 8,523 6,965 5,733 3,889 3,689 2,394 5,505","33,811 34,098 31,696 27,843 22,733 21,379 18,505 15,501 12,094 11,183 7,741 6,693 5,035 3,264 3,058 2,048 3,458","34,198 34,489 32,060 28,162 22,994 21,624 18,717 15,679 12,233 11,311 7,829 6,770 5,093 3,302 3,093 2,071 3,497","67,670 68,236 63,969 53,900 47,180 44,650 38,114 31,999 25,222 23,559 16,353 13,735 10,826 7,190 6,782 4,466 9,002","34,598 34,892 32,434 28,491 23,262 21,876 18,936 15,862 12,376 11,443 7,921 6,849 5,152 3,340 3,129 2,096 3,538","33,717 33,995 32,144 25,927 24,364 23,196 19,539 16,440 13,084 12,338 8,586 7,016 5,775 3,917 3,716 2,412 5,545","68,315 68,887 64,578 54,418 47,626 45,072 38,475 32,302 25,460 23,781 16,507 13,865 10,928 7,258 6,845 4,508 9,083","33,976 34,257 32,391 26,127 24,551 23,374 19,689 16,566 13,185 12,433 8,652 7,070 5,820 3,947 3,745 2,431 5,588","68,985 69,563 65,210 54,956 48,090 45,510 38,850 32,617 25,708 24,012 16,667 14,000 11,033 7,327 6,911 4,551 9,168","35,429 35,731 33,214 29,176 23,821 22,402 19,391 16,243 12,673 11,718 8,111 7,014 5,276 3,421 3,204 2,146 3,623","34,246 34,529 32,648 26,334 24,746 23,560 19,845 16,698 13,289 12,532 8,720 7,126 5,866 3,979 3,774 2,450 5,632"
,,,,,,24,"269,359","267,860","528,000",,"269,730","260,140","263,122","532,852","266,194","271,712","537,906","273,799","543,158","272,593","275,975"
,,,,,,25,Expected,registered,coverage,Expected,Registered,,,,,,,,,,
,,,,,,25,"17.583 4,402","12.437 3,320",70.7 75.4,"17,583 4,371","12,065 3,266",,,,,,,,,,
,,,,,,25,Health Facility %,Home %,Number,Health Facility %,Home %,,,,,,,,,,
,,,,,,25,52.2 52.2,47.8 47.8,"3,320 395",53.6 44.4,46.4 55.6,,,,,,,,,,
